gcode,itemcode,desc,Custom,Lighthouse,Cornerstone
B3D,B3D1830,Base 3 Drawer,T,T,T
B3D,B3D1836,Base 3 Drawer,T,T,T
B3D,B3D2118,Base 3 Drawer,T,T,T
B3D,B3D2124,Base 3 Drawer,T,T,T
B3D,B3D2130,Base 3 Drawer,T,T,T
B3D,B3D2136,Base 3 Drawer,T,T,T
B3D,B3D2418,Base 3 Drawer,T,T,T
B3D,B3D2424,Base 3 Drawer,T,T,T
B3D,B3D2430,Base 3 Drawer,T,T,T
B3D,B3D2436,Base 3 Drawer,T,T,T
B3D,B3D2718,Base 3 Drawer,T,T,T
B3D,B3D2724,Base 3 Drawer,T,T,T
B3D,B3D2730,Base 3 Drawer,T,T,T
B3D,B3D2736,Base 3 Drawer,T,T,T
B3D,B3D3018,Base 3 Drawer,T,T,T
B3D,B3D3024,Base 3 Drawer,T,T,T
B3D,B3D3030,Base 3 Drawer,T,T,T
B3D,B3D3036,Base 3 Drawer,T,T,T
B3D,B3D3318,Base 3 Drawer,T,T,T
B3D,B3D3324,Base 3 Drawer,T,T,T
B3D,B3D3330,Base 3 Drawer,T,T,T
B3D,B3D3336,Base 3 Drawer,T,T,T
B3D,B3D3618,Base 3 Drawer,T,T,T
B3D,B3D3624,Base 3 Drawer,T,T,T
B3D,B3D3630,Base 3 Drawer,T,T,T
B3D,B3D3636,Base 3 Drawer,T,T,T
B3D,B3D3918,Base 3 Drawer,T,T,T
B3D,B3D3924,Base 3 Drawer,T,T,T
B3D,B3D3930,Base 3 Drawer,T,T,T
B3D,B3D3936,Base 3 Drawer,T,T,T
B3D,B3D4218,Base 3 Drawer,T,T,T
B3D,B3D4224,Base 3 Drawer,T,T,T
B3D,B3D4230,Base 3 Drawer,T,T,T
B3D,B3D4518,Base 3 Drawer,T,T,T
B3D,B3D4524,Base 3 Drawer,T,T,T
B3D,B3D4530,Base 3 Drawer,T,T,T
B3D,B3D4818,Base 3 Drawer,T,T,T
B3D,B3D4824,Base 3 Drawer,T,T,T
B3D,B3D4830,Base 3 Drawer,T,T,T
B3DD,B3DD2718,Base 3 Drawer Top Double Drawer,T,T,F
B3DD,B3DD2724,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD2730,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD2736,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3018,Base 3 Drawer Top Double Drawer,T,T,F
B3DD,B3DD3024,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3030,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3036,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3318,Base 3 Drawer Top Double Drawer,T,T,F
B3DD,B3DD3324,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3330,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3336,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3618,Base 3 Drawer Top Double Drawer,T,T,F
B3DD,B3DD3624,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3630,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3636,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3918,Base 3 Drawer Top Double Drawer,T,T,F
B3DD,B3DD3924,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3930,Base 3 Drawer Top Double Drawer,T,T,T
B3DD,B3DD3936,Base 3 Drawer Top Double Drawer,T,T,T
B4D,B4D0924,Base 4 Drawer - TANDEM ONLY,T,T,T
B4D,B4D0930,Base 4 Drawer - TANDEM ONLY,T,T,T
B4D,B4D0936,Base 4 Drawer - TANDEM ONLY,T,T,T
B4D,B4D0948,Base 4 Drawer - TANDEM ONLY,T,T,T
B4D,B4D1224,Base 4 Drawer,T,T,T
B4D,B4D1230,Base 4 Drawer,T,T,T
B4D,B4D1236,Base 4 Drawer,T,T,T
B4D,B4D1248,Base 4 Drawer,T,T,T
B4D,B4D1524,Base 4 Drawer,T,T,T
B4D,B4D1530,Base 4 Drawer,T,T,T
B4D,B4D1536,Base 4 Drawer,T,T,T
B4D,B4D1548,Base 4 Drawer,T,T,T
B4D,B4D1824,Base 4 Drawer,T,T,T
B4D,B4D1830,Base 4 Drawer,T,T,T
B4D,B4D1836,Base 4 Drawer,T,T,T
B4D,B4D1848,Base 4 Drawer,T,T,T
B4D,B4D2124,Base 4 Drawer,T,T,T
B4D,B4D2130,Base 4 Drawer,T,T,T
B4D,B4D2136,Base 4 Drawer,T,T,T
B4D,B4D2148,Base 4 Drawer,T,T,T
B4D,B4D2424,Base 4 Drawer,T,T,T
B4D,B4D2430,Base 4 Drawer,T,T,T
B4D,B4D2436,Base 4 Drawer,T,T,T
B4D,B4D2448,Base 4 Drawer,T,T,T
B4D,B4D2724,Base 4 Drawer,T,T,T
B4D,B4D2730,Base 4 Drawer,T,T,T
B4D,B4D2736,Base 4 Drawer,T,T,T
B4D,B4D2748,Base 4 Drawer,T,T,T
B4D,B4D3024,Base 4 Drawer,T,T,T
B4D,B4D3030,Base 4 Drawer,T,T,T
B4D,B4D3036,Base 4 Drawer,T,T,T
B4D,B4D3048,Base 4 Drawer,T,T,T
B4D,B4D3324,Base 4 Drawer,T,T,T
B4D,B4D3330,Base 4 Drawer,T,T,T
B4D,B4D3336,Base 4 Drawer,T,T,T
B4D,B4D3348,Base 4 Drawer,T,T,T
B4D,B4D3624,Base 4 Drawer,T,T,T
B4D,B4D3630,Base 4 Drawer,T,T,T
B4D,B4D3636,Base 4 Drawer,T,T,T
B4D,B4D3648,Base 4 Drawer,T,T,T
B4D,B4D3924,Base 4 Drawer,T,T,T
B4D,B4D3930,Base 4 Drawer,T,T,T
B4D,B4D3936,Base 4 Drawer,T,T,T
B4D,B4D3948,Base 4 Drawer,T,T,T
B4DD,B4DD2724,Base 4 Drawer Top Double Drawer,T,T,F
B4DD,B4DD2730,Base 4 Drawer Top Double Drawer,T,T,T
B4DD,B4DD2736,Base 4 Drawer Top Double Drawer,T,T,F
B4DD,B4DD3024,Base 4 Drawer Top Double Drawer,T,T,T
B4DD,B4DD3030,Base 4 Drawer Top Double Drawer,T,T,T
B4DD,B4DD3036,Base 4 Drawer Top Double Drawer,T,T,F
B4DD,B4DD3324,Base 4 Drawer Top Double Drawer,T,T,T
B4DD,B4DD3330,Base 4 Drawer Top Double Drawer,T,T,T
B4DD,B4DD3336,Base 4 Drawer Top Double Drawer,T,T,F
B4DD,B4DD3624,Base 4 Drawer Top Double Drawer,T,T,T
B4DD,B4DD3630,Base 4 Drawer Top Double Drawer,T,T,T
B4DD,B4DD3636,Base 4 Drawer Top Double Drawer,T,T,F
B4DD,B4DD3924,Base 4 Drawer Top Double Drawer,T,T,T
B4DD,B4DD3930,Base 4 Drawer Top Double Drawer,T,T,T
B4DD,B4DD3936,Base 4 Drawer Top Double Drawer,T,T,F
B5D,B5D0930,Base 5 Drawer - TANDEM ONLY,T,T,T
B5D,B5D0936,Base 5 Drawer - TANDEM ONLY,T,T,T
B5D,B5D0948,Base 5 Drawer - TANDEM ONLY,T,T,T
B5D,B5D1230,Base 5 Drawer,T,T,T
B5D,B5D1236,Base 5 Drawer,T,T,T
B5D,B5D1248,Base 5 Drawer,T,T,T
B5D,B5D1530,Base 5 Drawer,T,T,T
B5D,B5D1536,Base 5 Drawer,T,T,T
B5D,B5D1548,Base 5 Drawer,T,T,T
B5D,B5D1830,Base 5 Drawer,T,T,T
B5D,B5D1836,Base 5 Drawer,T,T,T
B5D,B5D1848,Base 5 Drawer,T,T,T
B5D,B5D2130,Base 5 Drawer,T,T,T
B5D,B5D2136,Base 5 Drawer,T,T,T
B5D,B5D2148,Base 5 Drawer,T,T,T
B5D,B5D2430,Base 5 Drawer,T,T,T
B5D,B5D2436,Base 5 Drawer,T,T,T
B5D,B5D2448,Base 5 Drawer,T,T,T
B5D,B5D2730,Base 5 Drawer,T,T,T
B5D,B5D2736,Base 5 Drawer,T,T,T
B5D,B5D2748,Base 5 Drawer,T,T,T
B5D,B5D3030,Base 5 Drawer,T,T,T
B5D,B5D3036,Base 5 Drawer,T,T,T
B5D,B5D3048,Base 5 Drawer,T,T,T
B5D,B5D3330,Base 5 Drawer,T,T,T
B5D,B5D3336,Base 5 Drawer,T,T,T
B5D,B5D3348,Base 5 Drawer,T,T,T
B5D,B5D3630,Base 5 Drawer,T,T,T
B5D,B5D3636,Base 5 Drawer,T,T,T
B5D,B5D3648,Base 5 Drawer,T,T,T
B5D,B5D3930,Base 5 Drawer,T,T,T
B5D,B5D3936,Base 5 Drawer,T,T,T
B5D,B5D3948,Base 5 Drawer,T,T,T
B5DD,B5DD2730,Base 5 Drawer Top Double Drawer,T,T,T
B5DD,B5DD2736,Base 5 Drawer Top Double Drawer,T,T,F
B5DD,B5DD2748,Base 5 Drawer Top Double Drawer,T,T,F
B5DD,B5DD3030,Base 5 Drawer Top Double Drawer,T,T,T
B5DD,B5DD3036,Base 5 Drawer Top Double Drawer,T,T,F
B5DD,B5DD3048,Base 5 Drawer Top Double Drawer,T,T,F
B5DD,B5DD3330,Base 5 Drawer Top Double Drawer,T,T,T
B5DD,B5DD3336,Base 5 Drawer Top Double Drawer,T,T,F
B5DD,B5DD3348,Base 5 Drawer Top Double Drawer,T,T,F
B5DD,B5DD3630,Base 5 Drawer Top Double Drawer,T,T,T
B5DD,B5DD3636,Base 5 Drawer Top Double Drawer,T,T,F
B5DD,B5DD3648,Base 5 Drawer Top Double Drawer,T,T,F
B5DD,B5DD3930,Base 5 Drawer Top Double Drawer,T,T,T
B5DD,B5DD3936,Base 5 Drawer Top Double Drawer,T,T,F
B5DD,B5DD3948,Base 5 Drawer Top Double Drawer,T,T,F
BABFD,BABFD2024,Base Angled Back Full Door,T,T,T
BABFD,BABFD2030,Base Angled Back Full Door,T,T,T
BABFD,BABFD2036,Base Angled Back Full Door,T,T,T
BACFD,BACFD3324,Base Angled Corner Full Door,T,T,T
BACFD,BACFD3330,Base Angled Corner Full Door,T,T,T
BACFD,BACFD3336,Base Angled Corner Full Door,T,T,T
BACFD,BACFD3624,Base Angled Corner Full Door,T,T,T
BACFD,BACFD3630,Base Angled Corner Full Door,T,T,T
BACFD,BACFD3636,Base Angled Corner Full Door,T,T,T
BACFD,BACFD3924,Base Angled Corner Full Door,T,T,T
BACFD,BACFD3930,Base Angled Corner Full Door,T,T,T
BACFD,BACFD3936,Base Angled Corner Full Door,T,T,T
BACFD,BACFD4224,Base Angled Corner Full Door,T,T,T
BACFD,BACFD4230,Base Angled Corner Full Door,T,T,T
BACFD,BACFD4236,Base Angled Corner Full Door,T,T,T
BACFD,BACFD4524,Base Angled Corner Full Door,T,T,T
BACFD,BACFD4530,Base Angled Corner Full Door,T,T,T
BACFD,BACFD4536,Base Angled Corner Full Door,T,T,T
